type, value, quantity, info,
capacitor, 220pf, 1, 63v polyester,
capacitor, 100nf, 4, 5% ceramic,
capacitor, 470nf, 2, 63v polyester,
capacitor, 10uf, 2, 50v electrolytic,
diode, 1n4148, 1,,
diode, 6.2v zener, 1, 5% 500mw,
chip, ca3080, 1, transconductance opamp,
chip, tl071, 1, jfet opamp,
transistor, 2n3906, 3, pnp transistor,
connector, 8-pin, 1, pcb SIL interconnect header,
connector, 8-pin, 1, pcb SIL interconnect socket,
resistor, 330r, 3, 1% 0.5w metal film,
resistor, 1k, 2, 1% 0.5w metal film,
resistor, 2k2, 2, 1% 0.5w metal film,
resistor, 15k, 2, 1% 0.5w metal film,
resistor, 22k, 4, 1% 0.5w metal film,
resistor, 33k, 2, 1% 0.5w metal film,
resistor, 47k, 4, 1% 0.5w metal film,
resistor, 68k, 2, 1% 0.5w metal film,
resistor, 150k, 1, 1% 0.5w metal film,
resistor, 220k, 4, 1% 0.5w metal film,
trimpot, 25k, 3, 1tv triangle footprint,
potentiometer, 100k linear, 1,pcb mount,
hardware, serge 1900h knob, 1,,
socket, black banana socket, 1,,
socket, blue banana socket, 3,,
socket, white banana socket, 1,,
hardware, M3 11mm female-female threaded spacer, 2,,
connector, 8-pin pcb SIL interconnect socket, 1,,
connector, 8-pin pcb SIL interconnect header, 1,,
