type, value, quantity, info,
capacitor, 22pf, 2, 5% ceramic,
capacitor, 33pf, 3, 5% ceramic,
capacitor, 220pf, 2, 5% polystyrene,
capacitor, 220pf, 2, 5% ceramic,
capacitor, 1nf, 1, 5% ceramic,,
capacitor, 100nf, 3, polypropylene,,
capacitor, 100nf, 6, ceramic X7R,,
capacitor, 10uf, 2, 50v electrolytic,
connector, 14-pin, 1, ic socket,
connector, 8-pin, 1, ic socket,
diode, 1n4148, 5,,
chip, tl072, 1, dual jfet opamp,
chip, tl074, 1, quad jfet opamp,
resistor, 330r, 6, 1% 0.5w metal film,
resistor, 1k0, 1, 1% 0.5w metal film,
resistor, 2k0, 1, 1% 0.5w metal film,
resistor, 15k, 2, 1% 0.5w metal film,
resistor, 22k, 2, 1% 0.5w metal film,
resistor, 47k, 6, 1% 0.5w metal film,
resistor, 100k, 12, 1% 0.5w metal film,
resistor, 110k, 1, 1% 0.5w metal film,
resistor, 150k, 1, 1% 0.5w metal film,
resistor, 220k, 1, 1% 0.5w metal film,
resistor, 330k, 1, 1% 0.5w metal film,
resistor, 1m5, 1, 1% 0.5w metal film,
trimpot, 100r, 1, 25tv cermet,
potentiometer, 50k linear, 5,pcb mount,
hardware, serge 1900h knob, 5,,
socket, red banana socket, 1,,
socket, black banana socket, 2,,
socket, blue banana socket, 3,,
socket, white banana socket, 4,,
socket, white banana socket, 4,,
hardware, M3 11mm female-female threaded spacer, 2,,
switch, dpst on-off,1,,
connector, 2-pin pcb SIL interconnect socket, 3,,
connector, 2-pin pcb SIL interconnect header, 3,,
connector, 4-pin pcb SIL interconnect socket, 1,,
connector, 4-pin pcb SIL interconnect header, 1,,
connector, 6-pin pcb SIL interconnect socket, 1,,
connector, 6-pin pcb SIL interconnect header, 1,,
