type, value, quantity, info
capacitor, 5pf, 1, 5% ceramic,
capacitor, 22pf, 2, 5% ceramic,
capacitor, 47pf, 2, 5% ceramic,
capacitor, 220pf, 4, 5% ceramic,
capacitor, 1nf, 1, 63v polyester,
capacitor, 100nf, 6, 5% ceramic,
capacitor, 100nf, 3, 63v polyester,
capacitor, 10uf, 2, 50v electrolytic,
connector, 8-pin, 3, SIL socket,
connector, 8-pin, 3, ic socket,
connector, kk396 4-way locking header, 1, power connector,
connector, kk396 4-way crimp housing, 1, power connector,
connector, kk396 crimp, 4, power connector,
diode, 1n4148, 5,,
hardware, M2.5 6mm pan head bolt, 6,,
hardware, M2.5 10mm threaded spacer, 3,,
chip, lt1013cp, 1, dual precission opamp,
chip, tl072, 2, dual jfet opamp,
inductor, 0.45uh, 2, 7A ferrite bead,
resistor, 2k 3300ppm, 1, tempco resistor,
resistor, 330r, 6, 1% 0.5w metal film,
resistor, 1k0, 1, 1% 0.5w metal film,
resistor, 15k, 2, 1% 0.5w metal film,
resistor, 22k, 2, 1% 0.5w metal film,
resistor, 47k, 6, 1% 0.5w metal film,
resistor, 100k, 10, 1% 0.5w metal film,
resistor, 110k, 1, 1% 0.5w metal film,
resistor, 150k, 1, 1% 0.5w metal film,
resistor, 220k, 1, 1% 0.5w metal film,
resistor, 330k, 1, 1% 0.5w metal film,
resistor, 1m5, 1, 1% 0.5w metal film,
trimpot, 100r, 1, 25tv cermet,
socket, white banana socket, 4,,
socket, blue banana socket, 3,,
socket, black banana socket, 2,,
socket, red banana socket, 1,,
hardware, serge 1900h knob, 4,,
potentiometer, 50k linear, 4,,
switch, dpdt on-on,1,,
