type, value, quantity, info,
capacitor, 10nf, 1, 63v polyester,
capacitor, 100nf, 3, 5% ceramic,
capacitor, 220nf, 1, 63v polyester,
capacitor, 10uf, 2, 50v electrolytic,
connector, 16-pin, 1, ic socket,
connector, 14-pin, 1, ic socket,
connector, kk396 4-way locking header, 1, power connector,
connector, kk396 4-way crimp housing, 1, power connector,
connector, kk396 crimp, 4, power connector,
diode, 1n4148, 15,,
chip, lm339, 1, quad comparator,
chip, cd4017, 1, decade counter/divider,
inductor, 0.45uh, 2, 7A ferrite bead,
resistor, 1k0, 10, 1% 0.5w metal film,
resistor, 4k7, 1, 1% 0.5w metal film,
resistor, 10k, 25, 1% 0.5w metal film,
resistor, 15k, 1, 1% 0.5w metal film,
resistor, 100k, 4, 1% 0.5w metal film,
resistor, 220k, 7, 1% 0.5w metal film,
resistor, 1m0, 3, 1% 0.5w metal film,
transistor, bc547b, 11, npn transistor,
trimpot, 10k, 1, 1tv triangle footprint,
socket, yellow banana socket, 10,,
socket, red banana socket, 3,,
led, 5mm low current, 10,yellow,
led, 5mm fresnel lense, 10,yellow,
led, 5mm lense mounting spacer, 10,,
switch, spst push button - momentary on, 1,,
switch, push button dress nut, 1,,
switch, push button cap, 1,red,
