type, value, quantity, info,
capacitor, 15pf, 2, 5% ceramic,
capacitor, 220pf, 2, 5% polystyrene,
capacitor, 220pf, 1, 5% ceramic,
capacitor, 100nf, 8, ceramic X7R,,
capacitor, 10uf, 3, 50v electrolytic,
diode, 1n4148, 3,,
chip, tl072, 2, dual jfet opamp,
chip, tl074, 1, quad jfet opamp,
connector, 8-pin, 2, ic socket,
connector, 14-pin, 1, ic socket,
transistor, 2n3904, 3, npn transistor,
resistor, 330r, 3, 1% 0.5w metal film,
resistor, 390r, 1, 1% 0.5w metal film,
resistor, 475r, 2, 1% 0.5w metal film,
resistor, 820r, 1, 1% 0.5w metal film,
resistor, 2k0, 1, 1% 0.5w metal film,
resistor, 6k8, 2, 1% 0.5w metal film,
resistor, 15k, 2, 1% 0.5w metal film,
resistor, 22k, 7, 1% 0.5w metal film,
resistor, 33k, 2, 1% 0.5w metal film,
resistor, 47k, 4, 1% 0.5w metal film,
resistor, 82k, 1, 1% 0.5w metal film,
resistor, 100k, 3, 1% 0.5w metal film,
resistor, 220k, 4, 1% 0.5w metal film,
resistor, 330k, 4, 1% 0.5w metal film,
resistor, 470k, 1, 1% 0.5w metal film,
resistor, 1m0, 2, 1% 0.5w metal film,
trimpot, 10k, 1, 25tv cermet,
potentiometer, 50k linear, 5,pcb mount,
hardware, serge 1900h knob, 5,,
socket, white banana socket, 3,,
socket, black banana socket, 2,,
socket, blue banana socket, 3,,
connector, 2-pin pcb SIL interconnect socket, 2,,
connector, 2-pin pcb SIL interconnect header, 2,,
connector, 4-pin pcb SIL interconnect socket, 2,,
connector, 4-pin pcb SIL interconnect header, 2,,
