type, value, quantity, info,
capacitor, 10pf, 1, 5% ceramic,
capacitor, 47pf, 1, 5% ceramic,
capacitor, 100nf, 1, ceramic X7R,
diode, 1n4148, 2,,
chip, tl072, 1, dual jfet opamp,
transistor, 2n3904, 2, npn transistor,
transistor, 2n3906, 2, pnp transistor,
resistor, 100r, 1, 1% 0.5w metal film,
resistor, 330r, 1, 1% 0.5w metal film,
resistor, 8k2, 2, 1% 0.5w metal film,
resistor, 150k, 2, 1% 0.5w metal film,
resistor, 1m5, 1, 1% 0.5w metal film,
trimpot, 100k, 1, 1tv triangle footprint,
connector, 8-pin pcb SIL right angle interconnect header, 1,,
