type, value, quantity, info,
capacitor, 470pf, 1, 5% ceramic,
capacitor, 10nf, 1, 63v polyester,
capacitor, 22nf, 1, 63v polyester,
diode, 1n4148, 5,,
resistor, 680r, 1, 1% 0.5w metal film,
resistor, 820r, 1, 1% 0.5w metal film,
resistor, 1k2, 1, 1% 0.5w metal film,
resistor, 47k, 3, 1% 0.5w metal film,
resistor, 100k, 1, 1% 0.5w metal film,
resistor, 150k, 3, 1% 0.5w metal film,
resistor, 220k, 4, 1% 0.5w metal film,
resistor, 470k, 1, 1% 0.5w metal film,
resistor, 1m0, 1, 1% 0.5w metal film,
transistor, bc547b, 1, npn transistor,
transistor, bc557b, 3, pnp transistor,
socket, yellow banana socket, 1,
socket, red banana socket, 1,
led, 5mm low current, 1,yellow,
led, 5mm fresnel lense, 1,yellow,
led, 5mm lense mounting spacer, 1,,
potentiometer, 100k linear, 4,pcb mount,
switch, spst push button - momentary on, 1,,
switch, push button dress nut, 1,,
switch, push button cap, 1,red,
